Time,Amount
0,1720.0000
1,694080.0000
2,226980.0000
3,348170.0000
4,878120.0000
5,484530.0000
6,281520.0000
7,303345.5000
8,495810.0000
9,223970.0000
10,330660.0000
11,799270.0000
12,538010.0000
13,302684.0000
14,372378.7500
15,808811.0000
16,176650.0000
17,236960.0000
18,189560.0000
19,637201.0000
20,340920.0000
21,867273.0000
22,203650.0000
23,208530.0000
24,207240.0000
25,120840.0000
26,686650.0000
27,363920.0000
28,360130.0000
29,555850.0000
30,285420.0000
31,383610.0000
32,809534.5000
33,501550.0000
34,360090.0000
35,295168.0000
36,472190.0000
37,228630.0000
38,361310.0000
39,740460.0000
40,433100.0000
41,279850.0000
42,279470.0000
43,428520.0000
44,221350.0000
45,326240.0000
46,645995.0000
47,387930.0000
48,247654.5000
49,262880.0000
50,408180.0000
51,224370.0000
52,303820.0000
53,630875.5000
54,373975.0000
55,243148.5000
56,264610.0000
57,362570.0000
58,191680.0000
59,271210.0000
60,461540.0000
61,285733.0000
62,239866.0000
63,223760.0000
64,286200.0000
65,166690.0000
66,213000.0000
67,398740.0000
68,236508.5000
69,184860.0000
70,187080.0000
71,251560.0000
72,144580.0000
73,197280.0000
74,340550.0000
75,233500.0000
76,159030.0000
77,179310.0000
78,219610.0000
79,128980.0000
80,179270.0000
81,289130.0000
82,177020.0000
83,120160.0000
84,145340.0000
85,173380.0000
86,101670.0000
87,131640.0000
88,212435.0000
89,137250.0000
90,91450.0000
91,103250.0000
92,131480.0000
93,78880.0000
94,114660.0000
95,172690.0000
96,101480.0000
97,72090.0000
98,77240.0000
99,86690.0000
100,63630.0000
101,86920.0000
102,103320.0000
103,65480.0000
104,57060.0000
105,53590.0000
106,52040.0000
107,39740.0000
108,40320.0000
109,44550.0000
110,25220.0000
